	token	upos	ner
0	river	NOUN	O
1	brothers	NOUN	O
2	brothers	NOUN	O
3	brothers	NOUN	O
4	brothers	NOUN	O
5	brothers	NOUN	O
6	sons	NOUN	O
7	sons	NOUN	O
8	sons	NOUN	O
9	sons	NOUN	O
10	sons	NOUN	O
11	days	NOUN	E-DATE
12	days	NOUN	E-DATE
13	days	NOUN	E-DATE
14	lion	NOUN	O
15	lion	NOUN	O
16	lion	NOUN	O
17	lion	NOUN	O
18	fire	NOUN	O
19	fire	NOUN	O
20	fire	NOUN	O
21	fire	NOUN	O
22	fire	NOUN	O
23	disease	NOUN	O
24	everyone	PRON	O
25	everyone	PRON	O
26	knees	NOUN	O
27	speech	NOUN	O
28	speech	NOUN	O
29	speech	NOUN	O
30	name	NOUN	O
31	name	NOUN	O
32	name	NOUN	O
33	name	NOUN	O
34	name	NOUN	O
35	Father	NOUN	O
36	Father	NOUN	O
37	Father	NOUN	O
38	waters	NOUN	O
39	waters	NOUN	O
40	waters	NOUN	O
41	waters	NOUN	O
42	waters	NOUN	O
43	sign	NOUN	O
44	wood	NOUN	O
45	wood	NOUN	O
46	wood	NOUN	O
47	wood	NOUN	O
48	gold	NOUN	O
49	gold	NOUN	O
50	gold	NOUN	O
51	gold	NOUN	O
52	gold	NOUN	O
53	weep	VERB	O
54	weep	VERB	O
55	silver	NOUN	O
56	silver	NOUN	O
57	silver	NOUN	O
58	silver	NOUN	O
59	silver	NOUN	O
60	cause	NOUN	O
61	cities	NOUN	O
62	cities	NOUN	O
63	cities	NOUN	O
64	cities	NOUN	O
65	crop	NOUN	O
66	crop	NOUN	O
67	hair	NOUN	O
68	kings	NOUN	O
69	kings	NOUN	O
70	kings	NOUN	O
71	kings	NOUN	O
72	kings	NOUN	O
73	cloth	NOUN	O
74	cloth	NOUN	O
75	hands	NOUN	O
76	hands	NOUN	O
77	words	NOUN	O
78	words	NOUN	O
79	words	NOUN	O
80	words	NOUN	O
81	fish	NOUN	O
82	clouds	NOUN	O
83	clouds	NOUN	O
84	mountain	NOUN	O
85	mountain	NOUN	O
86	mountain	NOUN	O
87	images	NOUN	O
88	images	NOUN	O
89	images	NOUN	O
90	trust	NOUN	O
91	subject	NOUN	O
92	search	NOUN	O
93	search	NOUN	O
94	iron	NOUN	O
95	iron	NOUN	O
96	iron	NOUN	O
97	stones	NOUN	O
98	stones	NOUN	O
99	stones	NOUN	O
100	nothing	PRON	O
101	nothing	PRON	O
102	nothing	PRON	O
103	fruit	NOUN	O
104	fruit	NOUN	O
105	fruit	NOUN	O
106	fruit	NOUN	O
