	token	upos	ner
0	sea	NOUN	O
1	sea	NOUN	O
2	sea	NOUN	O
3	sea	NOUN	O
4	land	NOUN	O
5	land	NOUN	O
6	land	NOUN	O
7	land	NOUN	O
8	land	NOUN	O
9	anger	NOUN	O
10	anger	NOUN	O
11	anger	NOUN	O
12	anger	NOUN	O
13	anger	NOUN	O
14	wings	NOUN	O
15	wings	NOUN	O
16	wings	NOUN	O
17	command	NOUN	O
18	command	VERB	O
19	command	NOUN	O
20	delight	NOUN	O
21	delight	NOUN	O
22	table	NOUN	O
23	swift	NOUN	O
24	princes	NOUN	O
25	princes	NOUN	O
26	princes	NOUN	O
27	beard	NOUN	O
28	cakes	NOUN	O
29	cakes	NOUN	O
30	hunt	NOUN	O
31	trees	NOUN	O
32	trees	NOUN	O
33	priests	NOUN	O
34	priests	NOUN	O
35	priests	NOUN	O
36	priests	NOUN	O
37	priests	NOUN	O
38	room	NOUN	O
39	room	NOUN	O
40	room	NOUN	O
41	axe	NOUN	O
42	axe	NOUN	O
43	virginity	NOUN	O
44	virginity	NOUN	O
45	virginity	NOUN	O
46	virginity	NOUN	O
47	waist	NOUN	O
48	waist	NOUN	O
49	distraction	NOUN	O
50	Lord	PROPN	O
51	Lord	VERB	O
52	Lord	PROPN	O
53	Lord	PROPN	O
54	Lord	PROPN	O
55	bows	NOUN	O
56	donkeys	NOUN	O
57	donkeys	NOUN	O
58	donkeys	NOUN	O
59	donkeys	NOUN	O
60	beach	NOUN	O
61	silence	NOUN	O
62	loops	NOUN	O
63	loops	NOUN	O
64	hatred	NOUN	O
65	goodness	NOUN	O
66	bronze	NOUN	O
67	bronze	NOUN	O
68	pile	NOUN	O
69	ambushes	NOUN	O
70	Philip	PROPN	S-PERSON
71	Philip	PROPN	S-PERSON
72	Philip	PROPN	S-PERSON
73	Philip	PROPN	S-PERSON
74	relatives	NOUN	O
75	relatives	NOUN	O
76	relatives	NOUN	O
77	Tomorrow	NOUN	S-DATE
78	husbands	NOUN	O
79	James	PROPN	S-PERSON
80	creature	NOUN	O
81	riot	NOUN	O
82	players	NOUN	O
83	faithfulness	NOUN	O
84	faithfulness	NOUN	O
85	faithfulness	NOUN	O
86	faithfulness	NOUN	O
87	faithfulness	NOUN	O
88	lodging	NOUN	O
89	lodging	NOUN	O
90	bear	NOUN	O
91	court	NOUN	O
92	John	PROPN	B-PERSON
93	wrongdoing	NOUN	O
94	dwellings	NOUN	O
95	dwellings	NOUN	O
96	dwellings	NOUN	O
97	dwellings	NOUN	O
98	dwellings	NOUN	O
99	judgments	NOUN	O
100	judgments	NOUN	O
101	judgments	NOUN	O
102	sacrifice	NOUN	O
103	dung	NOUN	O
104	burning	NOUN	O
105	companion	NOUN	O
106	trouble	VERB	O
